split,session_token,n_examples,accuracy
train,pain_s10,37,1.0
train,pain_s5,30,1.0
train,pain_s6,30,1.0
train,pain_s9,34,1.0
train,s1,167,1.0
train,s10,168,1.0
train,s2,182,1.0
train,s3,117,1.0
train,s4,136,1.0
train,s5,172,1.0
train,s6,176,1.0
train,s8,156,1.0
train,s9,174,1.0
train,yes_s4,36,1.0
train,yes_s6,39,1.0
train,yes_s8,34,1.0
val,pain_s2,43,0.8837209302325582
val,pain_s4,40,0.975
val,s7,175,0.9714285714285714
val,yes_s3,49,1.0
val,yes_s7,45,1.0
test,pain_s1,48,0.9375
test,pain_s3,39,0.9230769230769231
test,pain_s7,21,1.0
test,pain_s8,37,0.9459459459459459
test,yes_s2,47,1.0
test,yes_s5,33,0.9393939393939394
